Linha;Vista;Empresa
1;PRAÇA GENERAL OSÓRIO X PRAÇA MAUÁ (CIRCULAR);POOL: Real - Recreio - Normandy - Consórcio Intersul
6;SILVESTRE X CASTELO (CIRCULAR);Transurb
SE006;SE-SILVESTRE X CASTELO(CIRCULAR);Transurb
SN006;SN - CASTELO X SANTA TERESA (CIRCULAR);Transurb
7;SILVESTRE X CENTRAL (CIRCULAR);POOL: Transurb - Transurb
LECD7;LECD7- RECREIO X CARIOCA;POOL: Recreio - Redentor
LECD09;JARDIM PALMARES X SANTA CRUZ (CIRCULAR);Palmares
10;FATIMA X CENTRAL (CIRCULAR);POOL: Transurb - Transurb
LECD10;CURICICA(PROJAC) X RIOSUL(V.BARRA DA TIJUCA)CIRC.;Redentor
11;RODOVIARIA X CASTELO (CIRCULAR);Transurb
LECD13;FREGUESIA X JOATINGA (V. RIO DAS PEDRAS)CIRCULAR;Barra
14;PAULA MATOS X CASTELO (CIRCULAR);Transurb
SE014;SE - PAULA MATOS X CASTELO(CIRCULAR);Transurb
LECD14;PINGO D`AGUA X PACIENCIA(V.EST.31 DE OUTUBRO)CIRC;Jabour
LECD16;RIO DAS PEDRASXILHA PURA(V.AV.ABELARDO BUENO)CIRC.;Redentor
LECD17;MARAMBAIA X CASTELO(V.BARRA DA TIJUCA/COPACABANA);Recreio
LECD19;SEPETIBA X CARIOCA (VIA T. PREF. MARCELLO ALENCAR);Recreio
LECD20;SEPETIBA X BANGU;Consórcio Santa Cruz
LECD21;LECD21 - RIO COMPRIDO X LARGO DO MACHADO (VIA LAPA/CATETE)CIRCULAR;Alpha
LECD22;LECD22- CIDADE DE DEUS X CANDELÁRIA (VIA AV. MENEZES CORTES);Litoral Rio
LECD23;LECD23 - FREGUESIA X MADUREIRA (VIA CASCADURA) CIRCULAR;Futuro
LECD24;LECD24 - CASACADURA X JARDIM OCEÂNICO (VIA LINHA AMARELA/FREGUESIA/RIO DAS PEDRAS);Futuro
