Consórcio;No atual;Destino 1;Destino 2;via
Intersul;006;Silvestre;Castelo;
Intersul;007;Silvestre;Central;
Intersul;10;B. Fátima;Central;circular
Intersul;11;Rodoviária;Cinelândia;via Praça Mauá
Intersul;14;Paula Matos;Castelo;
Intersul;16;Cinelândia;Santos Dumont;circular
Intersul;107;Central;Urca;
Intersul;110;Rodoviária;Jardim de Alah;via Rebouças
Intersul;111;Rodoviária;Jardim de Alah;via Rebouças
Intersul;112;Rodoviária;Gávea;via Rebouças
Intersul;133;Rodoviária;Largo do Machado;via Estácio
Intersul;143;Central;Gávea;
Intersul;157;Central;Gávea;via Lagoa
Intersul;161;Lapa;Leblon;via Catete
Intersul;162;Lapa;Leblon;via Catete
Intersul;170;Rodoviária;Gávea;via Catete
Intersul;173;Rodoviária;Leblon;via Santa Bárbara
Intersul;178;Rodoviária;São Conrado;via Catete
Intersul;180;Central;Cosme Velho;via Catete
Intersul;181;Rodoviária;São Conrado;via Linha Amarela
Intersul;183;Central;Laranjeiras;via Santa Bárbara
Intersul;184;Central;Laranjeiras;via Catete
Intersul;201;Santa Alexandrina;Carioca;circular
Intersul;202;Rio Comprido;Castelo;circular
Intersul;204;Rio Comprido;Estácio;via Santa Alexandrina
Intersul;209;Caju;Estácio;via São Cristóvão
Intersul;210;Caju;Candelária;circular
Intersul;213;Muda;Castelo;via Aterro do Flamengo
Intersul;217;Andaraí;Carioca;via Saens Peña
Intersul;220;Usina;Candelária;via Haddock Lobo
Intersul;222;Vila Isabel;Praça Mauá;via Hosp. Servidores
Intersul;226;Grajaú;Carioca;via Saens Peña
Intersul;229;Usina;Castelo;via Frei Caneca
Internorte;232;Lins;Castelo;via Rua Aquidabã
Internorte;238;Água Santa;Praça XV;via Frei Caneca
Internorte;239;Água Santa;Castelo;via 24 de Maio
Internorte;247;C. Méier;Passeio;circular
Internorte;249;Água Santa;Carioca;circular
Internorte;254;Madureira;Castelo;via Cruz Vermelha
Internorte;265;Marechal Hermes;Castelo;via Binário
Intersul;275;Méier;Castelo;circular
Internorte;277;Rocha Miranda;Castelo;via São Cristóvão
Internorte;284;Olaria;Candelária;circular
Internorte;292;Engenho da Rainha;Castelo;
Internorte;296;Irajá;Castelo;
Internorte;298;Acari;Castelo;
Santa Cruz;300;Sulacap;Candelária;
Transcarioca;301;Rodoviária;Alvorada;via Américas
Transcarioca;302;Rodoviária;Alvorada;via Sernambetiba
Transcarioca;303;Alvorada;Rodoviária;via Linha Amarela
Transcarioca;306;Praça Seca;Castelo;via Serra
x;307;Vila Kosmos;Praça XV;via Lucas
Transcarioca;309;Alvorada;Central;via Flamengo
Internorte;310;Engenho da Rainha;Praça XV;circular
Internorte;311;Eng. Leal;Praça XV;via Cavalcanti
Internorte;312;Olaria;Candelária;via São Cristóvão
Internorte;313;Penha (Grotão);Praça Tiradentes;via Vila Cruzeiro
Transcarioca;315;Central;Recreio;via Linha Amarela
Transcarioca;316;Recreio;Central;via Jardim Botânico
Transcarioca;317;Central;Alvorada;via Santa Bárbara
Internorte;320;Parque União;Praça XV;
Internorte;321;Bancários;Castelo;via Linha Vermelha
Internorte;322;Ribeira;Castelo;via Binário
Internorte;323;Bananal;Castelo;via Linha Vermelha
Internorte;324;Ribeira;Castelo;via Brasil
Internorte;325;Ribeira;Castelo;via Linha Vermelha
Internorte;326;Bancários;Castelo;via Brasil
Internorte;327;Ribeira;Castelo;via Linha Vermelha
Internorte;328;Bananal;Castelo;via Brasil
Internorte;329;Bancários;Castelo;via Praia da Rosa
Internorte;330;Parque União;Castelo;via Brasil
