"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"12862380","148","940","Ramos (Praia) - Madureira","940-RAMOS (PRAIA) - MADUREIRA","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862380&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12860029","148","673","Lucas - Méier (via Del Castilho) (Circular)","673-LUCAS - MEIER (VIA DEL CASTILHO) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860029&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12866507","148","405","Ramos - Cosme Velho","405-RAMOS - COSME VELHO","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12866507&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12862336","148","006","Santa Teresa - Castelo (Circular)","006-SANTA TERESA - CASTELO (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862336&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12869719","148","2115","Pechincha - Castelo (via Itanhangá)","336-PECHINCHA - CASTELO (VIA ITANHANGA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12869719&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12861311","148","323","Bananal - Castelo (via Cacuia) (Circular)","323-BANANAL - CASTELO (VIA CACUIA) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861311&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12861068","148","432","Vila Isabel - Gávea (via Túnel Santa Bárbara)","432-VILA ISABEL - GAVEA (VIA TUNEL SANTA BARBARA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861068&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12864183","148","609","São Francisco Xavier - Méier","609-SAO FRANCISCO XAVIER - MEIER","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864183&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12860338","148","374","Pavuna - Praça XV (via Costa Barros)","374-PAVUNA - PRACA XV (VIA COSTA BARROS)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860338&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12862170","148","744","Realengo - Cascadura (via Jardim Novo) (Circular)","744-REALENGO - CASCADURA (VIA JARDIM NOVO) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862170&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12865820","148","2295","Pavuna - Castelo","2295-PAVUNA - CASTELO","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12865820&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12864130","148","2333","Recreio - Castelo (via Av. das Américas)","2333-RECREIO - CASTELO (VIA AV. DAS AMERICAS)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864130&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12861256","148","313","Penha (Grotão) - Praça Tiradentes (via Vila Cruzeiro) (Circular)","313-PENHA (GROTAO) - PRACA TIRADENTES (VIA VILA CRUZEIRO) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861256&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12860099","148","608","Grajaú - Praça Saens Peña","608-GRAJAU - PRACA SAENS PENA","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860099&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12861220","148","766","Madureira - Freguesia","766-MADUREIRA - FREGUESIA","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861220&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
